,Name,RA,Dec,r,theta,radius.kpc,x,y,Fe_H,error,v_helio,error2,V_M31,V_sig
107,B084,10.57270833,41.31547222,0.1,298.83,1.3,-0.084,0.0462,-1.1,0.2,-325.8,10.5,-24.6,10.9
108,B085-G147,10.576,40.66588889,0.61,187.77,8.3,-0.0824,-0.6034,-1.7,0.2,-429.1,0.7,-128.8,3.1
109,B086-G148,10.57770833,41.23391667,0.09,246.28,1.2,-0.0804,-0.0353,-1.8,0.2,-183.3,0.6,117.7,3.1
110,B087,10.58254167,41.63783333,0.38,348.31,5.1,-0.0763,0.3686,-1,0.2,-369.2,8.8,-67.6,9.3
111,B088-G150,10.58779167,41.53727778,0.28,344.87,3.8,-0.0725,0.268,-1.8,0.2,-489.4,0.6,-188,3.1
112,B090,10.58783333,41.04930556,0.23,198.35,3.2,-0.073,-0.2199,-0.8,0.2,-407.2,0.7,-106.4,3.1
113,SK050A,10.58983333,41.23877778,0.08,246.85,1.1,-0.0712,-0.0305,0.3,0.3,-337.8,5.8,-36.8,6.5
114,B092-G152,10.59325,41.13575,0.15,207.26,2,-0.0688,-0.1335,-1,0.2,-426.5,0.6,-125.6,3.1
115,B347-G154,10.595375,41.90763889,0.64,354.06,8.7,-0.0664,0.6384,-2,0.3,-266.4,26.4,35.5,26.6
116,B348-G153,10.5955,41.87455556,0.61,353.75,8.3,-0.0663,0.6053,-0.8,0.2,-189.5,7.3,112.4,7.9
117,B093-G155,10.59654167,41.36208333,0.11,324.56,1.6,-0.0661,0.0928,-1.2,0.2,-460.1,0.5,-158.9,3
118,B094-G156,10.60441667,40.95491667,0.32,190.9,4.4,-0.0605,-0.3143,-0.4,0.2,-563.6,0.6,-263,3.1
119,B095-G157,10.6075,41.09341667,0.19,198.28,2.5,-0.0581,-0.1758,-1.4,0.2,-116.1,0.5,184.7,3
120,B096-G158,10.60875,41.32077778,0.08,312.14,1,-0.057,0.0515,-0.3,0.2,-321.3,0.4,-20.2,3
121,B098,10.61416667,40.99336111,0.28,190.9,3.8,-0.0531,-0.2759,-0.8,0.2,-311.1,0.6,-10.5,3.1
122,B097-G159,10.6145,41.42558333,0.16,341.42,2.2,-0.0525,0.1563,-1,0.2,-275,0.5,26.2,3
123,B099-G161,10.61495833,41.16741667,0.11,207.23,1.6,-0.0524,-0.1018,-1.3,0.2,-113.2,0.7,187.7,3.1
124,B350-G162,10.6185,40.41419444,0.86,183.37,11.7,-0.0503,-0.8551,-1.4,0.2,-422.9,0.7,-123.1,3.1
125,B100-G163,10.62066667,40.83222222,0.44,186.31,6,-0.0484,-0.437,-0.9,0.2,-428.4,8,-128,8.5
126,B101-G164,10.621,41.13766667,0.14,200,1.9,-0.0479,-0.1316,-1,0.2,-352.1,2.6,-51.3,4
127,NB108,10.622,41.25433333,0.05,252.4,0.7,-0.047,-0.0149,0.1,0.3,-387,13.9,-86,14.2
128,B103-G165,10.62395833,41.29930556,0.05,303.41,0.7,-0.0455,0.03,-0.5,0.2,-369.1,0.6,-68.1,3.1
129,B104-NB5,10.62475,41.29047222,0.05,295.26,0.7,-0.045,0.0212,-1.4,0.3,32.9,0.7,333.9,3.1
130,B105-G166,10.628125,41.50758333,0.24,349.94,3.3,-0.0423,0.2383,-1,0.2,-240.2,6.6,61.1,7.2
131,B106-G168,10.62933333,41.20508333,0.08,212.93,1,-0.0416,-0.0642,-0.6,0.2,-66.3,0.4,234.6,3
132,B108-G167,10.62995833,41.14758333,0.13,198.68,1.7,-0.0411,-0.1217,0,0.2,-550.5,0.7,-249.7,3.1
133,B107-G169,10.63029167,41.32747222,0.07,324.99,1,-0.0408,0.0582,-1,0.2,-335.5,0.5,-34.4,3
134,B109-G170,10.634,41.17441667,0.1,201.87,1.4,-0.0381,-0.0949,-0.2,0.2,-619.3,0.5,-318.4,3
